running_number,section,section_id,subsection,subsection_id,element,element_id,element_placeholder,element_type,suggestions,optional,inference,prediction
17,Model,m,Model estimates,m_interpretation,Explainability,m_estim_2,Methods of explainable AI used to gain insights into the models behaviour,suggestion,"SHAP, Permutation Importance, ALE, ICE, PDP, H-statistic",1,1,1
18,Model,m,Model estimates,m_interpretation,Scientific interpretation,m_estim_3,Discuss the implications of the models results in the context of ecological theory / processes / management decisions,text,,1,1,1
19,Model,m,Software,m_software,Software,m_software_1,Programming language and versioning of key libraries,text,,0,1,1
20,Model,m,Software,m_software,Code availability,m_software_2,"Code availability (e.g., Link to Code Repository such as Github)",text,,0,1,1
21,Model,m,Software,m_software,Data availability,m_software_3,"Data availability (e.g., Link to Data repository such as Fighsare)",text,,0,1,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,

